subgroup,n,RMSE,MAE,R2,mean_target,mean_prediction
<20%,2668,4.010985226614907,3.1809265968091136,0.3361673047250019,47.38715609032293,47.223800069981245
20-35%,5081,4.035517029736757,3.215179309718422,0.4358158325303605,44.16863070796387,44.12124744678592
35-50%,1990,4.0385468504792925,3.2152027683619497,0.5727481288053218,39.065067937525065,38.9969385231282
>50%,419,3.9826569052237195,3.182419654674157,0.5599431724719375,31.521133379876925,31.54348624037017
