subgroup,n,RMSE,MAE,R2,mean_target,mean_prediction
2nd quartile,926,3.9638088947605348,3.143940186781763,0.6569401814530511,35.17399316485409,34.976293034981765
3rd quartile,8168,4.03246434572813,3.2147097863935894,0.5355316223455566,43.64719851075385,43.58964914843459
top quartile,1348,4.022357679843094,3.193842959683403,0.2911231319655304,48.22705434881724,48.24842368937363
