feature,mean_abs_shap,mean_shap
poor_share,1.6450871802039524,0.018490985599480522
concentrated_disadvantage,1.4371188753418724,0.09899850411015246
frac_coll_plus,1.0364020925190451,-0.005224527850947949
gsmn_math_pcst,0.6757801558743509,0.024532199006054016
singleparent_share,0.16253461057113322,-0.014539954371225603
share_asian,0.1325850931586704,0.0025340042895873696
poor_x_black,0.10250375561654354,0.017597400648680036
hhinc_mean,0.09990231071950371,0.03968159696708934
mean_commutetime,0.08406043624828212,-0.0029749743651443826
emp_rate,0.0819623266222069,0.0177631840600671
foreign_share,0.07811360464847422,0.002226224710465396
nonwhite_share2010,0.06250465303531096,0.038038402267447737
inequality_index,0.05898870719891883,-0.0065300972610459525
poor_x_hisp,0.05514114874843159,0.007148384114400425
traveltime15_share,0.05324142549873919,-0.003448856367319707
share_white,0.05255614232717771,-0.026233720665413473
popdensity,0.052373321064038934,-0.007463425562810554
school_x_poverty,0.049009527353062736,-0.03420330272271501
log_med_hhinc,0.04886480573140017,-0.03217328810327834
job_density,0.04588552805523397,0.031809476634158756
share_black,0.042213990170511057,-0.01279663803013432
share_hisp,0.038910064934197956,-0.015731771370597458
log_popdensity,0.03649720576438714,-0.021761190287012667
rent_twobed,0.03580511169754736,0.0032006794273622984
med_hhinc,0.026372001174684082,-0.011681791523235096
