strategy,RMSE,MAE,R2,experiment,winsorize,engineered_features
mean,4.0793860162660565,3.2058323295269058,0.5971651872954684,imputation,,
median,4.08754296147736,3.2155056232439794,0.5955525982200165,imputation,,
iterative,4.07912343705348,3.207926411040721,0.5972170444343787,imputation,,
,4.0691186722186625,3.2010085469981666,0.5991904129679044,winsorization,False,
,4.07912343705348,3.207926411040721,0.5972170444343787,winsorization,True,
,4.084146894116656,3.2043890294902546,0.5962243758848211,feature_engineering,,False
,4.07912343705348,3.207926411040721,0.5972170444343787,feature_engineering,,True
