subgroup,n,RMSE,MAE,R2,mean_target,mean_prediction
2nd quartile,199,4.044453192090396,3.248225575355691,0.6531178913753712,36.27990110210632,36.10307858048904
3rd quartile,1683,4.013285594422558,3.1959878990361226,0.5226952114659302,43.70037885269446,43.755333743604844
top quartile,293,3.9560018599356535,3.1538542112014616,0.3123535277269164,47.87802435004324,47.98444223921276
