subgroup,n,RMSE,MAE,R2,mean_target,mean_prediction
majority white (<25% minority),6307,4.0254669340670715,3.197824166012807,0.5146238624872475,45.15169572853205,45.056437566853056
mixed (25-50%),3492,4.0490394056608,3.2221707533539,0.6134395482801314,42.20287043841381,42.162716506941415
majority minority (50-75%),869,3.9866555311150313,3.2178820345007813,0.6970652242967191,38.050328826433116,37.975640156792565
predominantly minority (>75%),132,3.816667697146291,3.100578431880862,0.6764210522201883,33.56831293983807,33.7044596548265
