subgroup,n,RMSE,MAE,R2,mean_target,mean_prediction
low (<10%),2714,4.006415790902347,3.1819289281079794,0.19018793400322698,48.29746130907016,48.309801715262196
moderate (10-20%),3825,3.9812438562588675,3.157095083301153,0.25208540811618363,45.48891617802723,45.30058492655545
high (20-30%),2191,4.031430868218053,3.2347606312177835,0.19897224811687597,41.6869056812315,41.736345470560366
very high (30%+),2070,4.134556313021884,3.298120183204789,0.5045070529596569,35.37705162689506,35.27589643564129
