alpha,mean_rmse,std_rmse,mean_n_nonzero
0.05,4.002878082343307,0.06836361987667429,7.6
0.01,4.004395108810682,0.06661596968824429,14.2
0.1,4.00452208373322,0.07009956119775948,5.2
0.005,4.005092924642761,0.06603398280148289,16.2
0.001,4.006161555140045,0.0654320875091107,21.8
0.5,4.048666645265783,0.08025725130512527,4.0
1.0,4.185081585468626,0.09210202426049234,4.0
