subgroup,n,RMSE,MAE,R2,mean_target,mean_prediction
majority white (<25% minority),1330,3.997756989717072,3.2014163487205654,0.5024632871814183,45.09267508387888,45.079149342768915
mixed (25-50%),717,4.058337504584632,3.209510414385222,0.5808932600234473,42.292306440219356,42.41247533031712
majority minority (50-75%),183,3.6890551536715948,2.972818386883353,0.7120763132866872,38.239654640212585,38.4433765498137
predominantly minority (>75%),20,3.6085102146455994,2.777885726046358,0.8158444632327507,33.78398253435803,34.16031052247051
