model,RMSE,MAE,R2,inference_ms_per_1k
Stacking(Lasso+GBM+RF),3.9308138055024844,3.1209408896519686,0.6234684911119909,15.281055536535053
Lasso(alpha=0.01),3.931067350368703,3.1210562879029773,0.6234199155677435,0.026888886673582926
Ridge(alpha=1.0),3.9340789977784043,3.123781802492644,0.6228426876700677,0.02275914367702272
LinearBaseline,3.934097745832307,3.123786883123356,0.6228390929367265,0.12366665113303398
"TabularMLP(h=128, blocks=3, drop=0.2)",3.9667770050792854,3.1578215004333985,0.6165471647065506,0.8357222088509135
"GBM(n=300, d=5, lr=0.05)",3.989770389318832,3.181638306770283,0.6120889197166701,4.558500005967088
"RF(n=200, d=15)",3.9992515521930305,3.1783050863646003,0.6102430901405494,11.873462703078985
ConstantBaseline(mean),6.405950401624776,5.07348358508224,-8.111802388466316e-06,0.0032408473392327624
