subgroup,n,RMSE,MAE,R2,mean_target,mean_prediction
low (<10%),594,3.913084177237351,3.175408354649928,0.173433642164057,48.038239751005435,48.203026210295285
moderate (10-20%),772,4.138620645385248,3.2827198921751553,0.22468336657323174,45.524237121713725,45.35269660164372
high (20-30%),487,3.679959180071974,2.887389089262418,0.2249073779935109,41.43714580652179,41.76959317903938
very high (30%+),397,4.169784878705661,3.35535361294978,0.47587936527084296,35.54423816424664,35.5080260282338
